,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding,recorded_animal
497,20240819_124,None,None,Reactive,Reactive,kanga
498,20240819_149,None,None,Both,None,kanga
499,20240819_156,None,None,Reactive,Reactive,kanga
500,20240819_162,None,None,Reactive,Reactive,kanga
501,20240819_177,None,Reactive,Reactive,Both,kanga
502,20240819_183,None,None,None,None,kanga
503,20240819_234,None,None,None,Reactive,kanga
504,20240819_235,None,Reactive,Reactive,None,kanga
505,20240819_242,None,None,None,None,kanga
506,20240819_249,None,None,None,None,kanga
507,20240819_258,None,None,Reactive,None,kanga
508,20240819_268,None,None,Both,Reactive,kanga
509,20240819_301,None,None,Reactive,None,kanga
510,20240819_312,None,Reactive,None,None,kanga
511,20240819_337,None,None,None,None,kanga
512,20240819_339,None,None,None,None,kanga
513,20240819_341,Predictive,Reactive,Both,Reactive,kanga
514,20240821_65,Reactive,Reactive,Both,None,kanga
515,20240821_70,Reactive,Reactive,Both,Reactive,kanga
516,20240821_95,Reactive,Reactive,Reactive,Reactive,kanga
517,20240821_102,Reactive,None,Reactive,None,kanga
518,20240821_125,Reactive,None,Reactive,None,kanga
519,20240821_157,Reactive,Reactive,Reactive,Predictive,kanga
520,20240821_257,None,None,None,None,kanga
521,20240821_261,Reactive,Reactive,Reactive,None,kanga
522,20240821_277,Reactive,None,Reactive,None,kanga
523,20240821_297,Reactive,None,Reactive,None,kanga
